지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃)
서울,Jan-13,-3.4,0.3,11.5
서울,Feb-13,-1.2,2.8,13.9
서울,Mar-13,5.1,10.8,23.8
서울,Apr-13,10,15,21.6
서울,May-13,18.2,23.6,31.8
서울,Jun-13,24.4,29.2,32.6
서울,Jul-13,25.5,28.3,31.3
서울,Aug-13,27.7,31.1,33.9
서울,Sep-13,21.8,25.9,31.1
서울,Oct-13,15.8,21.2,28.1
서울,Nov-13,6.2,10.7,20.7
서울,Dec-13,-0.2,3.5,11
서울,Jan-14,-0.7,3.5,8.2
서울,Feb-14,1.9,6.6,16.4
서울,Mar-14,7.9,13.1,23.8
서울,Apr-14,14,19.6,26.2
서울,May-14,18.9,25.3,33.3
서울,Jun-14,23.1,27.8,31.1
서울,Jul-14,26.1,30.6,34.4
서울,Aug-14,25.2,29,35.8
서울,Sep-14,22.1,27,31.3
서울,Oct-14,15.6,21.4,29
서울,Nov-14,9,13.8,22.9
서울,Dec-14,-2.9,1.5,7.9
서울,Jan-15,-0.9,3.6,9
서울,Feb-15,1,6,13
서울,Mar-15,6.3,12.4,21.9
서울,Apr-15,13.3,18.8,28.3
서울,May-15,18.9,24.9,32.2
서울,Jun-15,23.6,29.5,34.9
서울,Jul-15,25.8,30,36
서울,Aug-15,26.3,30.8,34.4
서울,Sep-15,22.4,28.1,31
서울,Oct-15,15.5,21.2,26.6
서울,Nov-15,8.9,12.7,21
서울,Dec-15,1.6,6,12.2
서울,Jan-16,-3.2,1.1,9.5
서울,Feb-16,0.2,5.1,14.4
서울,Mar-16,7,12.6,21.4
서울,Apr-16,14.1,20.3,29.6
서울,May-16,19.6,25.7,31.9
서울,Jun-16,23.6,28.7,32.2
서울,Jul-16,26.2,29.8,34.1
서울,Aug-16,28,32.6,36.6
서울,Sep-16,23.1,27.9,31.1
서울,Oct-16,16.1,21.3,29
서울,Nov-16,6.8,11.6,18.6
서울,Dec-16,1.2,5.8,13.6
서울,Jan-17,-1.8,2.9,11.4
서울,Feb-17,-0.2,4.8,12.3
서울,Mar-17,6.3,12.3,18.9
서울,Apr-17,13.9,20,27.8
서울,May-17,19.5,25.4,30.3
서울,Jun-17,23.3,28.8,34.1
서울,Jul-17,26.9,30.4,35.4
서울,Aug-17,25.9,29.7,35.3
서울,Sep-17,22.1,27.4,31.4
서울,Oct-17,16.4,22.5,29.4
서울,Nov-17,5.6,10.5,18.4
서울,Dec-17,-1.9,2.2,8.7
서울,Jan-18,-4,0.1,8.7
서울,Feb-18,-1.6,3.3,10.4
서울,Mar-18,8.1,13.6,22.1
서울,Apr-18,13,18.5,26.3
서울,May-18,18.2,23.3,29.6
서울,Jun-18,23.1,28.4,32.9
서울,Jul-18,27.8,32.1,38.3
서울,Aug-18,28.8,33.3,39.6
서울,Sep-18,21.5,26,30.9
서울,Oct-18,13.1,18.6,25.6
서울,Nov-18,7.8,13.2,19.4
서울,Dec-18,-0.6,4.1,13.5
서울,Jan-19,-0.9,4.1,8.5
서울,Feb-19,1,6,14.5
서울,Mar-19,7.1,12.4,17.6
서울,Apr-19,12.1,17.6,28.2
서울,May-19,19.4,25.6,33.4
서울,Jun-19,22.5,27.7,32.8
서울,Jul-19,25.9,30.1,36.1
서울,Aug-19,27.2,31.6,36.8
서울,Sep-19,22.6,27.1,30.5
서울,Oct-19,16.4,21.8,28.2
서울,Nov-19,7.6,12.9,22.1
서울,Dec-19,1.4,5.3,12.9
서울,Jan-20,1.6,5.9,11.9
서울,Feb-20,2.5,7.2,15.6
서울,Mar-20,7.7,13.3,20.6
서울,Apr-20,11.1,16.6,23.8
서울,May-20,18,23.3,30
서울,Jun-20,23.9,29,35.4
서울,Jul-20,24.1,28,32.9
서울,Aug-20,26.5,29.3,34.5
서울,Sep-20,21.4,25.6,29.5
서울,Oct-20,14.3,19.5,23.6
서울,Nov-20,8,12.6,20
서울,Dec-20,-0.3,3.9,11.4
서울,Jan-21,-2.4,2.2,13.9
서울,Feb-21,2.7,7.9,17.4
서울,Mar-21,9,14.8,22.9
서울,Apr-21,14.2,19.5,28.2
서울,May-21,17.1,21.9,30.8
서울,Jun-21,22.8,27.6,31.6
서울,Jul-21,28.1,32.2,36.5
서울,Aug-21,25.9,29.7,33.7
서울,Sep-21,22.6,26.9,30.3
서울,Oct-21,15.6,20.5,28.8
서울,Nov-21,8.2,13.1,21.3
서울,Dec-21,0.6,5.1,13.3
서울,Jan-22,-2.2,2.6,8.4
서울,Feb-22,-1.1,3.8,11.5
서울,Mar-22,7.7,12.7,19.5
서울,Apr-22,14.8,20.6,28.7
서울,May-22,19.1,25,30.7
서울,Jun-22,23.3,27.5,32.7
서울,Jul-22,27.3,31,36.1
서울,Aug-22,25.7,28.9,32.9
서울,Sep-22,22.4,27.2,32.5
서울,Oct-22,14.6,19.7,27.6
서울,Nov-22,10,15.4,22.1
서울,Dec-22,-2.8,1.7,10.2
서울,Jan-23,-1.5,3.2,12.5
서울,Feb-23,2.3,7.3,12.4
서울,Mar-23,,,22.8
